id,x1,x2,x3,x4
pca-001,0.622117,0.324953,-1.094448,0.674482
pca-002,-1.944715,-1.535591,0.982516,-1.125652
pca-003,-1.090607,-0.980845,-0.395786,-0.246123
pca-004,0.848367,0.621453,-0.475760,0.508583
pca-005,-1.334736,-1.167894,-0.008534,-0.570014
pca-006,0.547672,0.215925,-0.680747,0.549282
pca-007,0.799464,0.507562,-0.809765,0.614145
pca-008,0.697245,0.359932,-1.016841,0.595220
pca-009,1.576254,1.257047,-0.814454,1.014607
pca-010,0.334235,0.407528,-0.202671,0.321487
pca-011,0.680695,0.493398,-0.046611,0.267148
pca-012,1.057075,0.765895,-0.838261,0.677111
pca-013,-0.373653,-0.184663,0.192514,-0.201180
pca-014,0.531865,0.463659,-0.735243,0.293908
pca-015,-0.704228,-0.274948,1.399203,-0.911814
pca-016,1.047747,0.975940,-0.434243,0.599564
pca-017,0.999242,1.196290,0.926211,0.096706
pca-018,-2.234510,-1.975809,-0.037354,-0.772714
pca-019,-0.736630,-0.806166,-0.780906,-0.032235
pca-020,-2.678311,-2.130217,0.897540,-1.480835
pca-021,2.051175,1.821922,0.487515,0.617655
pca-022,-1.534393,-1.285857,0.397379,-0.622225
pca-023,0.572944,0.377988,0.220670,0.227760
pca-024,0.201070,0.098852,0.514984,-0.224899
pca-025,0.893290,0.594449,-0.243077,0.360262
pca-026,0.772560,0.484839,-0.464585,0.542071
pca-027,-1.337498,-1.125198,-0.293937,-0.477074
pca-028,0.512057,0.353213,-0.631884,0.402815
pca-029,0.312047,0.157905,-0.241841,0.091179
pca-030,-1.015795,-0.678350,0.373336,-0.571816
pca-031,1.108285,0.674281,-1.199877,0.822099
pca-032,-2.342796,-1.933636,0.128296,-0.847790
pca-033,-0.216523,-0.286795,-0.031304,-0.136322
pca-034,0.148580,-0.075553,-0.645776,0.233008
pca-035,0.898278,0.750076,-0.161905,0.367433
pca-036,-0.493254,-0.279082,-0.428310,0.061706
pca-037,0.696519,0.571816,0.627540,0.075681
pca-038,1.271234,0.981071,0.050111,0.307634
pca-039,0.104021,0.035886,-0.359306,0.055364
pca-040,-0.785132,-0.441367,0.078716,-0.163034
pca-041,0.016589,0.116320,-0.208216,0.077409
pca-042,-0.026974,0.091581,-0.209177,0.075876
pca-043,1.297730,0.990332,-0.891613,0.766812
pca-044,0.489704,0.227644,-0.455312,0.337313
pca-045,-0.420387,-0.328216,0.285382,-0.428149
pca-046,-0.320269,-0.319336,-0.535599,0.170426
pca-047,1.930895,1.578040,-0.534895,0.997303
pca-048,1.814869,1.303956,-1.485441,1.322569
pca-049,0.818679,0.469465,-1.006682,0.518783
pca-050,-2.440856,-2.015448,0.479734,-1.189105
pca-051,-1.179181,-1.043821,-0.084344,-0.308550
pca-052,-0.613815,-0.580164,0.144612,-0.335515
pca-053,-0.560482,-0.405800,0.041412,-0.446492
pca-054,0.378885,0.190729,-0.951658,0.450519
pca-055,1.312829,0.996461,-0.562418,0.635945
pca-056,0.341915,0.134115,-0.202620,0.123822
pca-057,1.741040,1.475255,-0.180110,0.807838
pca-058,-0.497006,-0.631753,-0.813638,0.239584
pca-059,-0.295969,-0.309368,0.194760,-0.234597
pca-060,-1.028804,-0.830427,0.437968,-0.521762
pca-061,0.348184,0.293741,0.533121,-0.177156
pca-062,-0.024621,-0.021297,0.358526,-0.100380
pca-063,-1.778553,-1.652393,0.877231,-1.137927
pca-064,-2.374258,-2.040975,0.050221,-0.898127
pca-065,1.812921,1.412918,-0.412891,0.802978
